TEAM_ID,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,TM_TOV_PCT,TS_PCT,PACE,SEASON_ID,PLAYOFF_WINS
1610612743,0.329,100.3,106.6,-6.3,1.51,17.0,0.341,0.668,0.16,0.495,91.35,2001-02,0
1610612765,0.61,103.2,100.9,2.3,1.48,17.3,0.277,0.676,0.159,0.54,91.38,2001-02,4
1610612744,0.256,101.5,107.1,-5.6,1.24,15.3,0.373,0.669,0.175,0.499,95.75,2001-02,0
1610612745,0.341,101.6,106.9,-5.4,1.28,14.6,0.327,0.675,0.155,0.507,89.56,2001-02,0
1610612754,0.512,102.8,102.4,0.4,1.51,17.6,0.302,0.686,0.162,0.527,93.13,2001-02,2
1610612746,0.476,104.3,104.7,-0.4,1.41,16.3,0.349,0.673,0.161,0.519,91.21,2001-02,0
1610612747,0.707,108.0,100.4,7.6,1.81,17.5,0.311,0.686,0.135,0.534,93.32,2001-02,15
1610612763,0.28,96.6,104.7,-8.0,1.33,16.9,0.305,0.663,0.176,0.501,92.55,2001-02,0
1610612748,0.439,97.3,99.0,-1.7,1.37,16.5,0.297,0.71,0.166,0.501,88.47,2001-02,0
1610612749,0.5,105.3,105.6,-0.3,1.6,17.7,0.287,0.679,0.152,0.544,91.51,2001-02,0
1610612750,0.61,107.5,104.1,3.4,1.82,18.4,0.343,0.703,0.145,0.532,91.72,2001-02,0
1610612751,0.634,102.4,98.1,4.3,1.67,18.2,0.322,0.683,0.154,0.515,93.2,2001-02,11
1610612752,0.366,100.4,104.6,-4.2,1.44,16.7,0.292,0.684,0.159,0.514,90.78,2001-02,0
1610612753,0.537,105.6,104.1,1.5,1.61,16.8,0.292,0.665,0.143,0.533,94.4,2001-02,1
1610612755,0.524,100.5,98.7,1.8,1.3,15.8,0.341,0.702,0.169,0.507,90.32,2001-02,2
1610612756,0.439,101.8,102.6,-0.7,1.53,17.1,0.327,0.672,0.157,0.51,92.74,2001-02,0
1610612757,0.598,105.9,102.6,3.3,1.64,18.0,0.345,0.703,0.157,0.528,90.55,2001-02,0
1610612758,0.744,107.9,99.7,8.1,1.74,17.7,0.306,0.69,0.142,0.539,96.74,2001-02,10
1610612759,0.707,105.4,98.5,6.9,1.39,16.0,0.301,0.685,0.157,0.539,91.06,2001-02,4
1610612760,0.549,107.3,104.1,3.3,1.71,18.3,0.32,0.656,0.151,0.54,90.35,2001-02,2
1610612761,0.512,101.1,101.7,-0.6,1.52,16.9,0.343,0.671,0.158,0.501,90.02,2001-02,2
1610612762,0.537,103.8,102.9,0.9,1.48,18.4,0.362,0.683,0.178,0.529,91.75,2001-02,1
1610612764,0.451,102.9,104.5,-1.6,1.61,16.6,0.328,0.685,0.144,0.508,89.93,2001-02,0
1610612737,0.427,100.4,104.2,-3.8,1.23,16.0,0.3,0.681,0.178,0.527,92.63,2002-03,0
